               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.026371,            0.010402,           0.0011014,             0.49986,             0.73674,             0.47359,             0.31095,            0.019718,            0.013254,           0.0010203,            0.006766,            0.006766,            0.006766
                 100,             0.02539,            0.010625,            0.001078,             0.50421,             0.76298,             0.47522,             0.30741,            0.019657,            0.013239,          0.00095192,            0.006733,            0.006733,            0.006733
                 101,            0.025062,            0.010452,           0.0010926,             0.48014,             0.81774,             0.47477,             0.30669,            0.020042,            0.013227,          0.00097834,              0.0067,              0.0067,              0.0067
                 102,            0.025405,            0.010849,           0.0010669,             0.49555,             0.81258,             0.48057,             0.31067,            0.019164,            0.013094,          0.00097792,            0.006667,            0.006667,            0.006667
                 103,            0.025591,            0.010506,           0.0010606,             0.49767,             0.77943,             0.47446,             0.30521,            0.019531,            0.013341,           0.0010945,            0.006634,            0.006634,            0.006634
                 104,            0.026022,            0.010891,          0.00096723,             0.49006,             0.82692,             0.47716,             0.31075,            0.019369,            0.013257,           0.0010057,            0.006601,            0.006601,            0.006601
                 105,            0.026451,            0.010764,           0.0011163,             0.49899,             0.80242,             0.47401,             0.30123,            0.019989,            0.013149,          0.00098838,            0.006568,            0.006568,            0.006568
                 106,            0.025524,            0.010363,            0.001004,             0.50195,             0.79214,             0.47594,             0.30439,            0.019437,            0.013416,           0.0010306,            0.006535,            0.006535,            0.006535
                 107,            0.024706,            0.010588,           0.0010043,             0.50825,             0.80478,             0.47956,             0.31373,            0.019512,            0.013345,           0.0010287,            0.006502,            0.006502,            0.006502
                 108,            0.026232,             0.01069,            0.001025,              0.5008,             0.80191,             0.46989,             0.30739,            0.019627,            0.013719,           0.0010434,            0.006469,            0.006469,            0.006469
                 109,            0.024704,            0.010526,           0.0010137,             0.49273,              0.8111,             0.47811,             0.31386,            0.019205,            0.013261,          0.00096246,            0.006436,            0.006436,            0.006436
                 110,            0.025494,            0.010861,            0.001124,             0.50199,             0.77384,             0.48029,             0.32187,            0.019014,             0.01318,          0.00099076,            0.006403,            0.006403,            0.006403
                 111,               0.026,             0.01063,           0.0011076,             0.48455,             0.83487,             0.47577,             0.31464,            0.018939,            0.013366,           0.0010213,             0.00637,             0.00637,             0.00637
